zip,lat,lon
02035,42.0706608,-71.2517835
02038,42.0870521,-71.4061876
02040,42.2192807,-70.78469439999999
02041,42.0794153,-70.6518222
02043,42.2271881,-70.8833434
02044,42.23999999999999,-70.89
02045,42.3016073,-70.9011786
02047,42.1341009,-70.6863656
02048,42.00925840000001,-71.2280234
02050,42.110535,-70.70495199999999
02051,42.1452849,-70.73691889999999
02052,42.1871281,-71.30416989999999
02053,42.1559342,-71.4180622
02054,42.1670755,-71.3705616
02055,42.2192807,-70.78469439999999
02056,42.1208961,-71.3230549
02059,42.1445422,-70.7680713
02060,42.2192807,-70.78469439999999
02061,42.1693018,-70.8238874
02062,42.1772198,-71.20426189999999
02065,42.09883,-70.68083
02066,42.1950224,-70.7525299
02067,42.1159279,-71.1804988
02070,42.0341608,-71.38800979999999
02071,42.10422740000001,-71.26663289999999
02072,42.1229099,-71.10920120000002
02081,42.1470851,-71.2517835
02090,42.2211351,-71.2102024
02093,42.0484051,-71.3468091
02108,42.3548561,-71.0661193
02109,42.36606159999999,-71.0482911
02110,42.3613114,-71.0482911
02111,42.3514653,-71.0601767
02112,42.36,-71.06
02113,42.3654231,-71.05497679999999
02114,42.3652917,-71.0646337
02115,42.339904,-71.0898892
02116,42.353068,-71.0765188
02117,42.3479888,-71.0732165
02118,42.3377967,-71.0705763
02119,42.32182359999999,-71.08840359999999
02120,42.33191670000001,-71.09880249999999
02121,42.3065441,-71.08246129999999
02122,42.29671460000001,-71.0527482
02123,42.3504957,-71.1092343
02124,42.2826027,-71.067605
02125,42.3157363,-71.0527482
02126,42.2771417,-71.0913748
02127,42.3364553,-71.0349193
02128,42.3695431,-71.0200613
02129,42.37954089999999,-71.0646337
02130,42.3097365,-71.1151431
02131,42.2832142,-71.1270268
02132,42.2797554,-71.1626756
02133,42.3584525,-71.06370509999999
02134,42.3593008,-71.1270268
02135,42.3463503,-71.1626756
02136,42.2527785,-71.1299976
02137,42.24767,-71.1285334
02138,42.3803274,-71.13891009999999
02139,42.36475590000001,-71.1032591
02140,42.3964457,-71.13593929999999
02141,42.3716445,-71.0809757
02142,42.3635847,-71.08246129999999
02143,42.3808757,-71.1002881
02144,42.3991718,-71.1240559
02145,42.3930959,-71.08840359999999
02148,42.4326041,-71.0557196
02149,42.4041313,-71.0557196
02150,42.4000656,-71.0319478
02151,42.4224283,-70.9962875
02152,42.3737714,-70.9754842
02153,42.4187659,-71.1094145
02155,42.4274971,-71.10920120000002
02156,42.41999999999999,-71.13000000000001
02163,42.3663518,-71.11959949999999
02169,42.25136819999999,-70.9962875
02170,42.265811,-71.0111463
02171,42.2991086,-71.0111463
02176,42.4573354,-71.0616623
02180,42.4766331,-71.0913748
02184,42.2020445,-71.014118
02185,42.22,-71
02186,42.233283,-71.0854325
02187,42.27,-71.0699999
02188,42.2071619,-70.96062409999999
02189,42.210555,-70.9249578
02190,42.1707499,-70.94279139999999
02191,42.2432065,-70.9487357
02196,42.36,-71.06
02199,42.3464868,-71.0832041
02201,42.358158,-71.0585053
02203,42.3604802,-71.0590624
02204,42.36,-71.06
02205,42.3503234,-71.0550434
02206,42.36,-71.06
02210,42.3517272,-71.0408624
02211,42.36,-71.06
02212,42.36,-71.06
02215,42.3476181,-71.1002881
02217,42.35077,-71.0701784
02222,42.3637194,-71.0625781
02238,42.37,-71.11999999999999
02241,42.36,-71.06
02266,42.36,-71.06
02269,42.25,-71
02283,42.35,-71.06
02284,42.35,-71.06
02293,42.36,-71.06
02297,42.36,-71.06
02298,42.34,-71.05
02301,42.0725522,-71.0378909
02302,42.08351529999999,-70.99034379999999
02303,42.0797651,-71.0194037
02304,42.06,-71.02
02305,42.06,-71.02
02322,42.1260772,-71.0438339
02324,41.9647407,-70.9665682
02325,41.9865159,-70.9728396
02327,42.0432396,-70.8408548
02330,41.8587338,-70.74063579999999
02331,42.037569,-70.6711242
02332,42.0342172,-70.70495199999999
02333,42.0371506,-70.94279139999999
02334,42.0266275,-71.1174724
02337,42.0135823,-70.96187069999999
02338,41.98664,-70.8714528
02339,42.1162217,-70.8476708
02341,42.0630735,-70.8714528
02343,42.144846,-71.014118
02344,41.9054363,-70.9599896
02345,41.9164074,-70.55474699999999
02346,41.875212,-70.83577919999999
02347,41.8306204,-70.9665682
02348,41.884882,-70.9527581
02349,41.89,-70.92
02350,42.0200399,-70.8469276
02351,42.1176168,-70.9665682
02355,41.9208502,-70.7967508
02356,42.0656067,-71.10920120000002
02357,42.0634409,-71.08246129999999
02358,42.09339,-70.79311000000001
02359,42.0698312,-70.80010279999999
02360,41.8804637,-70.645473
02361,41.95577,-70.66391999999999
02362,41.9719331,-70.6823772
02364,41.9851794,-70.7525299
02366,41.8426145,-70.7458867
02367,41.955186,-70.80010279999999
02368,42.1911136,-71.0616623
02370,42.1285232,-70.91901320000001
02375,42.0041954,-71.0854325
02379,42.0302666,-71.014118
